898.14954,0.00512,591.69623,898.14954,591.69623,898.14954,898.14954,898.14954,898.14954
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
0.00000,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.58838,0.00639,2.73415,1.58838,2.73415,1.58838,1.58838,1.58838,1.58838
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.18628,0.00352,1.88617,1.18628,1.88617,1.18628,1.18628,1.18628,1.18628
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
366.26840,0.01136,283.17130,366.28683,283.17914,366.28589,366.26672,366.26920,366.28299
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.38614,0.00385,1.99438,1.38614,1.99438,1.38614,1.38614,1.38614,1.38614
0.00000,0.00084,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
831.13770,0.00674,434.73398,831.13770,434.73398,831.13770,831.13770,831.13770,831.13770
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
1.60179,0.00435,2.73120,1.60179,2.73120,1.60179,1.60179,1.60179,1.60179
